sleeper_id,adp_dd_ppr,pts_std,pts_ppr,pts_half_ppr,pos_adp_dd_ppr,idp_tkl_solo,idp_tkl_ast,idp_tkl,idp_sack,idp_ff,gp,rec_yd,rec_tgt,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,bonus_rec_te,xpmiss,xpm,xpa,fgmiss_50p,fgmiss_40_49,fgmiss_30_39,fgm_yds,fgm_50p,fgm_40_49,fgm_30_39,fgm_20_29,fgm,fga,rush_yd,rush_td,rush_fd,rush_att,fum_lost,bonus_rec_rb,idp_int,idp_fum_rec,idp_tkl_loss,bonus_rec_wr,yds_allow_300_349,yds_allow,tkl_loss,safe,sack,pts_allow_14_20,pts_allow,pr_yd,pass_int_td,int,fum_rec,ff,def_td,def_pr_yd,def_kr_yd,def_fum_td,blk_kick,rush_40p,fum,rush_2pt,yds_allow_200_299,st_td,pr_td,def_pr_td,rec_td_40p,rec_2pt,idp_pass_def,idp_int_ret_yd,pass_yd,pass_td_40p,pass_td,pass_sack,pass_int,pass_inc,pass_fd,pass_cmp_40p,pass_cmp,pass_att,pass_2pt,cmp_pct,idp_sack_yd,idp_qb_hit,pr,yds_allow_350_399,pts_allow_21_27,fgm_0_19,def_kr_td,pts_allow_28_34,week,yds_allow_400_449,yahoo_id,yahoo_name,player_id,name,status,position_type,eligible_positions,selected_position,team_id,team_name,shape,scale
5850,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,31856,Josh Jacobs,31856,Josh Jacobs,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,3.6358474040975900,3.4029831006612800
5850,29.0,12.29,14.75,13.52,9.0,,,,,,1.0,18.37,3.2,0.06,1.84,0.49,0.25,0.25,0.49,0.74,0.49,2.46,,,,,,,,,,,,,,,71.46,0.49,7.15,16.3,0.06,2.46,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,31856,Josh Jacobs,31856,Josh Jacobs,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,3.6358474040975900,3.4029831006612800
4866,24.0,12.0,14.8,13.4,9.0,,,,,,1.0,21.94,4.0,0.11,2.19,0.56,0.28,0.28,0.56,0.84,0.56,2.8,,,,,,,,,,,,,,,65.0,0.44,6.5,18.0,0.06,2.8,,,,,,,,,,,,,,,,,,,,,,0.13,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
4866,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
4866,12.0,14.4,17.64,16.02,3.0,,,,,,1.0,25.44,4.0,0.13,2.54,0.65,0.32,0.32,0.65,0.97,0.65,3.24,,,,,,,,,,,,,,,80.2,0.51,8.02,18.0,0.07,3.24,,,,,,,,,,,,,,,,,,,,,,0.15,0.14,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30972,Saquon Barkley,30972,Saquon Barkley,,O,"['RB', 'W/R/T']",RB,1,Pancake Man,4.165885785007070,3.6846905537459300
2251,88.0,4.77,8.07,6.42,12.0,,,,,,1.0,32.49,5.5,0.25,3.25,0.66,0.33,0.33,0.66,0.99,0.66,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
2251,78.0,4.93,8.35,6.64,11.0,,,,,,1.0,33.59,5.5,0.26,3.36,0.68,0.34,0.34,0.68,1.02,0.68,3.41,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
2251,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,27648,Logan Thomas,27648,Logan Thomas,,O,"['TE', 'W/R/T']",TE,1,Pancake Man,3.0690928956667300,2.4958514650420700
9221,18.0,11.02,15.27,13.14,4.0,,,,,,1.0,31.99,5.1,0.28,3.2,0.85,0.43,0.43,0.85,1.27,0.85,4.25,,,,,,,,,,,,,,,43.0,0.33,4.3,8.8,0.07,4.25,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
9221,29.0,9.45,13.55,11.5,15.0,,,,,,1.0,30.8,5.1,0.2,3.08,0.82,0.41,0.41,0.82,1.23,0.82,4.09,,,,,,,,,,,,,,,36.93,0.27,3.69,8.8,0.07,4.09,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
9221,53.0,9.33,13.37,11.35,18.0,,,,,,1.0,30.41,5.1,0.2,3.04,0.81,0.4,0.4,0.81,1.21,0.81,4.04,,,,,,,,,,,,,,,36.46,0.26,3.65,8.8,0.07,4.04,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,40059,Jahmyr Gibbs,40059,Jahmyr Gibbs,,O,"['RB', 'W/R/T']",W/R/T,1,Pancake Man,3.3009948345131000,4.756141947224750
5846,51.0,8.42,12.94,10.68,21.0,,,,,,1.0,59.14,7.8,0.4,5.91,0.9,0.45,0.45,0.9,1.36,0.9,4.52,,,,,,,,,,,,,,,1.09,,0.11,0.17,0.06,,,,,4.52,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,12,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
5846,55.0,7.85,12.06,9.96,25.0,,,,,,1.0,55.12,7.1,0.37,5.51,0.84,0.42,0.42,0.84,1.26,0.84,4.21,,,,,,,,,,,,,,,1.01,,0.1,0.16,0.05,,,,,4.21,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,13,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
5846,55.0,8.11,12.46,10.28,26.0,,,,,,1.0,56.92,7.1,0.39,5.69,0.87,0.43,0.43,0.87,1.3,0.87,4.35,,,,,,,,,,,,,,,1.05,,0.1,0.17,0.06,,,,,4.35,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,14,,31896,DK Metcalf,31896,DK Metcalf,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,10.263376110562700,1.1107456140350900
8167,101.0,6.69,9.94,8.31,43.0,,,,,,1.0,46.13,5.6,0.33,4.61,0.65,0.33,0.33,0.65,0.98,0.65,3.25,,,,,,,,,,,,,,,2.16,,0.22,0.33,0.06,,,,,3.25,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8167,101.0,5.9,8.76,7.33,46.0,,,,,,1.0,40.64,5.1,0.29,4.06,0.57,0.29,0.29,0.57,0.86,0.57,2.86,,,,,,,,,,,,,,,1.89,,0.19,0.29,0.05,,,,,2.86,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8167,107.0,6.39,9.49,7.94,50.0,,,,,,1.0,44.0,5.1,0.32,4.4,0.62,0.31,0.31,0.62,0.93,0.62,3.1,,,,,,,,,,,,,,,2.05,,0.2,0.32,0.05,,,,,3.1,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33989,Christian Watson,33989,Christian Watson,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,4.745155621329140,1.363796909492270
8228,83.0,8.6,11.24,9.92,26.0,,,,,,1.0,24.0,3.7,0.08,2.4,0.53,0.26,0.26,0.53,0.79,0.53,2.64,,,,,,,,,,,,,,,39.0,0.33,3.9,8.1,0.08,2.64,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
8228,81.0,7.15,10.05,8.6,27.0,,,,,,1.0,21.44,3.7,0.09,2.14,0.58,0.29,0.29,0.58,0.87,0.58,2.9,,,,,,,,,,,,,,,33.83,0.21,3.38,8.1,0.07,2.9,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
8228,105.0,7.41,10.41,8.91,28.0,,,,,,1.0,22.21,3.7,0.09,2.22,0.6,0.3,0.3,0.6,0.9,0.6,3.0,,,,,,,,,,,,,,,35.05,0.22,3.51,8.1,0.08,3.0,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,34447,Jaylen Warren,34447,Jaylen Warren,,O,"['RB', 'W/R/T']",BN,1,Pancake Man,3.8091377467060200,2.8274115340967700
9500,82.0,6.9,11.29,9.1,36.0,,,,,,1.0,50.67,6.5,0.26,5.07,0.88,0.44,0.44,0.88,1.32,0.88,4.39,,,,,,,,,,,,,,,2.55,,0.25,0.53,,,,,,4.39,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,12,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
9500,77.0,6.45,10.56,8.51,34.0,,,,,,1.0,47.37,6.5,0.25,4.74,0.82,0.41,0.41,0.82,1.23,0.82,4.1,,,,,,,,,,,,,,,2.38,,0.24,0.49,,,,,,4.1,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,13,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
9500,91.0,6.27,10.26,8.27,41.0,,,,,,1.0,46.05,6.5,0.24,4.61,0.8,0.4,0.4,0.8,1.2,0.8,3.99,,,,,,,,,,,,,,,2.31,,0.23,0.48,,,,,,3.99,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,14,,40126,Josh Downs,40126,Josh Downs,,O,"['WR', 'W/R/T']",BN,1,Pancake Man,2.3132352941176500,3.709090909090910
7553,89.0,4.66,7.94,6.3,13.0,,,,,,1.0,31.0,5.2,0.26,3.1,0.66,0.33,0.33,0.66,0.98,0.66,3.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
7553,69.0,5.53,8.82,7.17,8.0,,,,,,1.0,39.56,5.2,0.26,3.96,0.66,0.33,0.33,0.66,0.99,0.66,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
7553,78.0,5.91,9.43,7.67,9.0,,,,,,1.0,42.29,5.2,0.28,4.23,0.7,0.35,0.35,0.7,1.06,0.7,3.52,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33392,Kyle Pitts,33392,Kyle Pitts,,O,"['TE', 'W/R/T']",BN,1,Pancake Man,3.7083089526038600,1.752820512820510
KC,999.0,7.97,7.97,7.97,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.48,5.72,0.07,2.68,1.0,17.25,17.31,0.07,0.92,0.56,0.79,0.14,69.15,51.85,0.07,0.07,,,,1.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,12,,100012,Kansas City,100012,Kansas City,,DT,['DEF'],DEF,1,Pancake Man,6.630612244897960,1.4327485380117000
KC,999.0,7.59,7.59,7.59,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.89,5.31,0.07,2.58,1.0,17.25,16.07,0.07,0.88,0.53,0.73,0.13,64.22,48.15,0.07,0.07,,,,1.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,13,,100012,Kansas City,100012,Kansas City,,DT,['DEF'],DEF,1,Pancake Man,6.630612244897960,1.4327485380117000
KC,999.0,6.44,6.44,6.44,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,336.97,4.56,0.06,2.16,,21.0,13.79,0.06,0.74,0.46,0.63,0.11,55.11,41.32,0.06,0.06,,,,,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,1.0,,,,14,,100012,Kansas City,100012,Kansas City,,DT,['DEF'],DEF,1,Pancake Man,6.630612244897960,1.4327485380117000
CLE,999.0,7.01,7.01,7.01,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.92,4.37,0.07,2.56,1.0,18.75,10.28,0.07,0.79,0.53,0.72,0.14,50.73,40.45,0.07,0.06,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,100005,Cleveland,100005,Cleveland,,DT,['DEF'],BN,1,Pancake Man,2.6177884615384600,4.2020202020202000
CLE,999.0,6.69,6.69,6.69,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.31,4.36,0.06,2.49,1.0,19.25,10.27,0.06,0.77,0.53,0.72,0.11,50.68,40.41,0.06,0.06,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,100005,Cleveland,100005,Cleveland,,DT,['DEF'],BN,1,Pancake Man,2.6177884615384600,4.2020202020202000
CLE,999.0,6.82,6.82,6.82,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,347.03,4.69,0.06,2.49,,22.25,11.04,0.06,0.77,0.53,0.77,0.12,54.47,43.44,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,14,,100005,Cleveland,100005,Cleveland,,DT,['DEF'],BN,1,Pancake Man,2.6177884615384600,4.2020202020202000
7523,87.0,19.37,19.37,19.37,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.38,0.18,1.64,3.5,0.24,,,,,,,,,,,,,,0.06,,,,,,,0.06,,,0.59,,,,,,,,,,234.0,0.18,1.5,2.32,0.83,12.19,23.4,0.53,22.41,34.6,0.06,64.77,,,,,,,,,12,,33389,Trevor Lawrence,33389,Trevor Lawrence,,O,['QB'],QB,2,Big-Ten Bitches,5.0716541631469300,3.180027557319220
7523,58.0,20.42,20.42,20.42,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,0.17,1.61,3.5,0.23,,,,,,,,,,,,,,0.06,,,,,,,0.06,,,0.58,,,,,,,,,,248.26,0.18,1.64,2.28,0.82,12.57,24.83,0.53,22.03,34.6,0.06,63.66,,,,,,,,,13,,33389,Trevor Lawrence,33389,Trevor Lawrence,,O,['QB'],QB,2,Big-Ten Bitches,5.0716541631469300,3.180027557319220
7523,72.0,19.97,19.97,19.97,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,0.17,1.58,3.5,0.23,,,,,,,,,,,,,,0.06,,,,,,,0.06,,,0.57,,,,,,,,,,242.87,0.17,1.6,2.23,0.8,13.05,24.29,0.51,21.55,34.6,0.06,62.28,,,,,,,,,14,,33389,Trevor Lawrence,33389,Trevor Lawrence,,O,['QB'],QB,2,Big-Ten Bitches,5.0716541631469300,3.180027557319220
5927,64.0,7.91,12.23,10.07,29.0,,,,,,1.0,58.61,7.5,0.33,5.86,0.86,0.43,0.43,0.86,1.3,0.86,4.32,,,,,,,,,,,,,,,1.72,,0.17,0.33,0.06,,,,,4.32,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,31908,Terry McLaurin,31908,Terry McLaurin,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,4.971662548143480,2.0187137681159400
5927,45.0,8.18,12.65,10.41,20.0,,,,,,1.0,60.6,7.5,0.34,6.06,0.89,0.45,0.45,0.89,1.34,0.89,4.46,,,,,,,,,,,,,,,1.77,,0.18,0.34,0.06,,,,,4.46,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,31908,Terry McLaurin,31908,Terry McLaurin,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,4.971662548143480,2.0187137681159400
5927,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,31908,Terry McLaurin,31908,Terry McLaurin,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,4.971662548143480,2.0187137681159400
3321,7.0,12.09,18.15,15.12,5.0,,,,,,1.0,84.71,9.1,0.54,8.47,1.21,0.61,0.61,1.21,1.82,1.21,6.07,,,,,,,,,,,,,,,5.23,,0.52,0.95,0.06,,,,,6.07,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,12,,29399,Tyreek Hill,29399,Tyreek Hill,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,5.101678672309480,4.222139688434950
3321,2.0,12.66,19.02,15.84,1.0,,,,,,1.0,88.75,9.1,0.56,8.87,1.27,0.64,0.64,1.27,1.91,1.27,6.36,,,,,,,,,,,,,,,5.48,,0.55,1.0,0.06,,,,,6.36,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,13,,29399,Tyreek Hill,29399,Tyreek Hill,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,5.101678672309480,4.222139688434950
3321,3.0,12.72,19.1,15.91,2.0,,,,,,1.0,89.11,9.1,0.56,8.91,1.28,0.64,0.64,1.28,1.91,1.28,6.38,,,,,,,,,,,,,,,5.51,,0.55,1.0,0.06,,,,,6.38,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,14,,29399,Tyreek Hill,29399,Tyreek Hill,,O,"['WR', 'W/R/T']",WR,2,Big-Ten Bitches,5.101678672309480,4.222139688434950
8136,33.0,10.49,13.98,12.23,12.0,,,,,,1.0,31.0,4.7,0.1,3.1,0.7,0.35,0.35,0.7,1.05,0.7,3.49,,,,,,,,,,,,,,,47.9,0.34,4.79,11.7,0.06,3.49,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,34047,Rachaad White,34047,Rachaad White,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,3.8254677377035900,3.393049135422020
8136,26.0,10.25,13.82,12.03,13.0,,,,,,1.0,26.96,4.7,0.1,2.7,0.71,0.36,0.36,0.71,1.07,0.71,3.57,,,,,,,,,,,,,,,48.98,0.35,4.9,11.7,0.07,3.57,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,34047,Rachaad White,34047,Rachaad White,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,3.8254677377035900,3.393049135422020
8136,47.0,10.11,13.64,11.87,17.0,,,,,,1.0,26.6,4.7,0.1,2.66,0.7,0.35,0.35,0.7,1.06,0.7,3.52,,,,,,,,,,,,,,,48.33,0.34,4.83,11.7,0.06,3.52,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,34047,Rachaad White,34047,Rachaad White,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,3.8254677377035900,3.393049135422020
8155,36.0,11.63,13.66,12.64,15.0,,,,,,1.0,15.41,2.9,0.06,1.54,0.41,0.2,0.2,0.41,0.61,0.41,2.03,,,,,,,,,,,,,,,68.26,0.53,6.83,16.6,0.14,2.03,,,,,,,,,,,,,,,,,,,,,,0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33991,Breece Hall,33991,Breece Hall,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,2.4626662839407600,5.014889788574000
8155,22.0,12.26,14.39,13.32,10.0,,,,,,1.0,16.13,2.6,0.05,1.61,0.43,0.21,0.21,0.43,0.64,0.43,2.13,,,,,,,,,,,,,,,72.46,0.56,7.25,15.1,0.15,2.13,,,,,,,,,,,,,,,,,,,,,,0.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33991,Breece Hall,33991,Breece Hall,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,2.4626662839407600,5.014889788574000
8155,28.0,12.62,14.81,13.71,8.0,,,,,,1.0,16.6,2.6,0.05,1.66,0.44,0.22,0.22,0.44,0.66,0.44,2.19,,,,,,,,,,,,,,,74.6,0.58,7.46,15.1,0.15,2.19,,,,,,,,,,,,,,,,,,,,,,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33991,Breece Hall,33991,Breece Hall,,O,"['RB', 'W/R/T']",RB,2,Big-Ten Bitches,2.4626662839407600,5.014889788574000
4066,41.0,5.54,10.66,8.1,4.0,,,,,,1.0,41.0,7.0,0.24,4.1,1.02,0.51,0.51,1.02,1.54,1.02,5.12,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30136,Evan Engram,30136,Evan Engram,,O,"['TE', 'W/R/T']",TE,2,Big-Ten Bitches,7.9549025769956000,0.942814814814815
4066,20.0,7.67,12.71,10.19,2.0,,,,,,1.0,53.84,7.0,0.38,5.38,1.01,0.5,0.5,1.01,1.51,1.01,5.03,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30136,Evan Engram,30136,Evan Engram,,O,"['TE', 'W/R/T']",TE,2,Big-Ten Bitches,7.9549025769956000,0.942814814814815
4066,25.0,7.51,12.43,9.97,3.0,,,,,,1.0,52.67,7.0,0.37,5.27,0.98,0.49,0.49,0.98,1.48,0.98,4.92,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30136,Evan Engram,30136,Evan Engram,,O,"['TE', 'W/R/T']",TE,2,Big-Ten Bitches,7.9549025769956000,0.942814814814815
7528,84.0,8.97,11.09,10.03,27.0,,,,,,1.0,15.13,3.1,0.05,1.51,0.42,0.21,0.21,0.42,0.64,0.42,2.12,,,,,,,,,,,,,,,51.09,0.34,5.11,14.2,0.05,2.12,,,,,,,,,,,,,,,,,,,,,,0.05,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33412,Najee Harris,33412,Najee Harris,,O,"['RB', 'W/R/T']",W/R/T,2,Big-Ten Bitches,3.2486784542471700,2.739575530586770
7528,51.0,9.86,12.2,11.03,22.0,,,,,,1.0,16.63,3.1,0.06,1.66,0.47,0.23,0.23,0.47,0.7,0.47,2.33,,,,,,,,,,,,,,,56.16,0.37,5.62,14.2,0.05,2.33,,,,,,,,,,,,,,,,,,,,,,0.05,0.11,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33412,Najee Harris,33412,Najee Harris,,O,"['RB', 'W/R/T']",W/R/T,2,Big-Ten Bitches,3.2486784542471700,2.739575530586770
7528,64.0,10.22,12.64,11.43,22.0,,,,,,1.0,17.23,3.1,0.06,1.72,0.48,0.24,0.24,0.48,0.73,0.48,2.42,,,,,,,,,,,,,,,58.18,0.39,5.82,14.2,0.06,2.42,,,,,,,,,,,,,,,,,,,,,,0.06,0.11,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33412,Najee Harris,33412,Najee Harris,,O,"['RB', 'W/R/T']",W/R/T,2,Big-Ten Bitches,3.2486784542471700,2.739575530586770
8676,86.0,6.98,10.92,8.95,38.0,,,,,,1.0,45.29,6.2,0.29,4.53,0.79,0.39,0.39,0.79,1.18,0.79,3.94,,,,,,,,,,,,,,,6.33,0.04,0.63,0.83,0.08,,,,,3.94,,,,,,,,14.73,,,,,,,25.37,,,,0.08,,,,0.06,,,,,,,,,,,,,,,,,,,,1.28,,,,,,12,,34659,Rashid Shaheed,34659,Rashid Shaheed,,O,"['WR', 'W/R/T']",BN,2,Big-Ten Bitches,1.8304632465812000,5.097070382279390
8676,84.0,6.59,9.81,8.2,37.0,,,,,,1.0,41.12,5.3,0.28,4.11,0.64,0.32,0.32,0.64,0.97,0.64,3.22,,,,,,,,,,,,,,,5.19,0.07,0.52,0.71,0.07,,,,,3.22,,,,,,,,14.67,,,,,,,25.25,,,,0.07,,,,0.06,,,,,,,,,,,,,,,,,,,,1.28,,,,,,13,,34659,Rashid Shaheed,34659,Rashid Shaheed,,O,"['WR', 'W/R/T']",BN,2,Big-Ten Bitches,1.8304632465812000,5.097070382279390
8676,87.0,6.98,10.4,8.69,39.0,,,,,,1.0,43.55,5.3,0.3,4.36,0.68,0.34,0.34,0.68,1.02,0.68,3.41,,,,,,,,,,,,,,,5.49,0.07,0.55,0.74,0.07,,,,,3.41,,,,,,,,15.39,,,,,,,26.51,,,,0.07,,,,0.06,,,,,,,,,,,,,,,,,,,,1.34,,,,,,14,,34659,Rashid Shaheed,34659,Rashid Shaheed,,O,"['WR', 'W/R/T']",BN,2,Big-Ten Bitches,1.8304632465812000,5.097070382279390
